,Product image,Product Name,Original Price,Discount_per,Discount Price,Color,Rating Review,Promo
0,,,,,,,,
1,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/j/n/t/-original-imagyywybsayskpe.jpeg?q=70,Flipkart Perfect Homes Sweet Dream Dual - Hard & Soft 4...,"₹5,143",40% off,"₹3,063",L x W: 72 inch x 48 inch,"3.9(2,251)",Hot Deal
2,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/e/p/q/normal-top-queen-8-60-72-original-bodyiq-orthopedic-memory-high-original-imah9a2ggqqakz2u.jpeg?q=70,Sleepyhead Original - BodyIQ Orthopedic Memory 6 inch Q...,"₹17,599",41% off,"₹10,299",L x W: 75 inch x 60 inch,"4.3(47,918)",Hot Deal
3,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/s/p/b/-original-imagyywys9agqpvu.jpeg?q=70,Flipkart Perfect Homes ECOFIT 4 inch Single High Densit...,"₹4,615",52% off,"₹2,194",L x W: 78 inch x 30 inch,"3.6(1,423)",Lowest price in the year
4,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/c/m/f/-original-imags7p6hvqgberz.jpeg?q=70,Flipkart Perfect Homes Dual Comfort Hard & Soft 4 inch ...,"₹7,359",33% off,"₹4,907",L x W: 75 inch x 48 inch,"4(1,737)",Hot Deal
5,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/k/m/b/-original-imagyywydrzk5kew.jpeg?q=70,Flipkart Perfect Homes Euro Top Dual - Hard & Soft Sing...,"₹5,480",46% off,"₹2,959",L x W: 72 inch x 36 inch,3.7(267),Lowest price in the year
6,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/o/y/g/normal-top-king-5-70-78-bookfold-orthopedic-high-density-folding-original-imah8mp29kpw93he.jpeg?q=70,Flipkart Perfect Homes Bookfold Orthopedic High Density...,"₹18,478",43% off,"₹10,408",L x W: 78 inch x 72 inch,"4.2(1,244)",Hot Deal
7,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/z/o/u/normal-top-single-2-hr-folding-mattress-tri-fold-foldable-travel-original-imah9yshcyabtpvr.jpeg?q=70,MezzaNine HR Folding Mattress | Tri Fold Foldable | Tra...,"₹6,945",62% off,"₹2,625",L x W: 72 inch x 35 inch,2.3(4),Bank Offer
8,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/z/w/f/normal-top-double-6-48-72-hybrid-3-layered-latex-orthopedic-5-original-imah4w83utgprhna.jpeg?q=70,SleepyCat Hybrid 3-Layered Latex Orthopedic 5-zone supp...,"₹14,999",20% off,"₹11,999",L x W: 75 inch x 48 inch,"4.3(3,500)",Hot Deal
9,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/c/3/c/normal-top-double-8-48-72-ortho-curvx-comfortscience-foam-with-original-imahawrbbqngvtkk.jpeg?q=70,Livpure Smart ORTHO CURVX ComfortScience foam with SPIN...,"₹25,144",59% off,"₹10,069",L x W: 72 inch x 60 inch,"4.1(2,348)",Hot Deal
10,https://rukminim2.flixcart.com/image/612/612/xif0q/bed-mattress/q/z/s/normal-top-single-2-35-72-4-fold-cotton-cotton-morofeel-original-imah9wpnzhmy6s4c.jpeg?q=70,MOROFEEL 4 Fold 2 inch Single Cotton Mattress,"₹1,699",23% off,"₹1,299",L x W: 72 inch x 35 inch,3.5(661),Bank Offer
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
